"municipio_distrito","yearDate","casos_totales","tasa_incidencia_media_anual"
"Madrid-Arganzuela",2020,9115,134.691136363636
"Madrid-Arganzuela",2021,16851,215.122
"Madrid-Barajas",2020,2608,121.054318181818
"Madrid-Barajas",2021,5374,212.82
"Madrid-Carabanchel",2020,18300,164.308636363636
"Madrid-Carabanchel",2021,24651,185.5056
"Madrid-Centro",2020,8567,144.371363636364
"Madrid-Centro",2021,17905,249.6996
"Madrid-Chamartín",2020,8302,129.336818181818
"Madrid-Chamartín",2021,17192,231.7228
"Madrid-Chamberí",2020,8594,140.102045454545
"Madrid-Chamberí",2021,18425,260.3816
"Madrid-Ciudad Lineal",2020,14023,147.322954545455
"Madrid-Ciudad Lineal",2021,23627,212.7704
"Madrid-Fuencarral-El Pardo",2020,13386,123.663181818182
"Madrid-Fuencarral-El Pardo",2021,24899,197.5354
"Madrid-Hortaleza",2020,10230,123.523181818182
"Madrid-Hortaleza",2021,19898,203.1222
"Madrid-Latina",2020,15062,143.69
"Madrid-Latina",2021,23670,193.4414
"Madrid-Moncloa-Aravaca",2020,7732,147.151818181818
"Madrid-Moncloa-Aravaca",2021,15129,246.3118
"Madrid-Moratalaz",2020,6222,149.480454545455
"Madrid-Moratalaz",2021,10046,208.8672
"Madrid-Puente de Vallecas",2020,21246,205.589318181818
"Madrid-Puente de Vallecas",2021,26951,219.204
"Madrid-Retiro",2020,6821,129.925
"Madrid-Retiro",2021,12975,214.6124
"Madrid-Salamanca",2020,8710,135.442272727273
"Madrid-Salamanca",2021,18266,245.7024
"Madrid-San Blas - Canillejas",2020,9332,134.1
"Madrid-San Blas - Canillejas",2021,16742,205.5464
"Madrid-Tetuán",2020,9858,141.780227272727
"Madrid-Tetuán",2021,16824,205.886
"Madrid-Usera",2020,10798,175.600681818182
"Madrid-Usera",2021,14066,193.0278
"Madrid-Vicálvaro",2020,4434,139.785454545455
"Madrid-Vicálvaro",2021,7428,197.566
"Madrid-Villa de Vallecas",2020,7029,144.705909090909
"Madrid-Villa de Vallecas",2021,11688,199.6914
"Madrid-Villaverde",2020,11396,173.873409090909
"Madrid-Villaverde",2021,15266,192.4056
